date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,prev_price
7/15/2009,Wheat flour - Retail,KG,cereals and tubers,28.592,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,28.98
8/15/2009,Wheat flour - Retail,KG,cereals and tubers,27.04,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,28.592
9/15/2009,Wheat flour - Retail,KG,cereals and tubers,27.04,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,27.04
10/15/2009,Wheat flour - Retail,KG,cereals and tubers,27.04,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,27.04
11/15/2009,Wheat flour - Retail,KG,cereals and tubers,27.04,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,27.04
12/15/2009,Wheat flour - Retail,KG,cereals and tubers,27.04,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,27.04
1/15/2010,Wheat flour - Retail,KG,cereals and tubers,29.82,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,27.04
2/15/2010,Wheat flour - Retail,KG,cereals and tubers,30.75,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,29.82
3/15/2010,Wheat flour - Retail,KG,cereals and tubers,30.75,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,30.75
4/15/2010,Wheat flour - Retail,KG,cereals and tubers,30.3,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,30.75
5/15/2010,Wheat flour - Retail,KG,cereals and tubers,28.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,30.3
6/15/2010,Wheat flour - Retail,KG,cereals and tubers,26.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,28.0
7/15/2010,Wheat flour - Retail,KG,cereals and tubers,26.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,26.5
8/15/2010,Wheat flour - Retail,KG,cereals and tubers,26.88,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,26.5
9/15/2010,Wheat flour - Retail,KG,cereals and tubers,28.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,26.88
10/15/2010,Wheat flour - Retail,KG,cereals and tubers,29.88,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,28.0
11/15/2010,Wheat flour - Retail,KG,cereals and tubers,30.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,29.88
12/15/2010,Wheat flour - Retail,KG,cereals and tubers,30.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,30.25
1/15/2011,Wheat flour - Retail,KG,cereals and tubers,30.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,30.5
